channelTitle,channelCategory,totalViewCount,numLicensedContent,numUnlicensedContent,channelAvgDailyViews,channelAvgViewCount,channelAvgLikeCount,channelAvgCommentCount,channelAvgEngagementRate
ROA,Music,786858,0,1,15856.37,786858.0,11748.0,485.0,0.02
ROSÉ,People & Blogs,147723715,19,7,41677.45,5681681.35,480939.77,19881.54,0.15
Ryan Trahan,Entertainment,3023194503,239,1,23991.53,12596643.76,388279.56,12423.51,0.04
Sam Sulek,People & Blogs,125825441,149,0,2901.19,844466.05,32957.77,1669.55,0.04
SEC Shorts,Comedy,80199546,0,139,2226.49,576975.15,12400.11,1082.25,0.02
Shenandoah,Music,15562423,4,6,1471.09,1556242.3,13174.2,338.9,0.01
Sony Pictures Entertainment,Entertainment,2947596677,152,4,15224.68,18894850.49,205391.56,15533.13,0.02
Stray Kids Japan Official YouTube,Music,377516034,237,24,5515.27,1446421.59,113258.87,3236.03,0.2
Street Fighter,Gaming,108591095,116,3,1462.24,912530.21,16690.39,2037.86,0.02
Stuff Made Here,Science & Technology,306405511,33,1,8978.94,9011926.79,286660.62,11179.91,0.03
TerminalMontage,Gaming,1231884121,123,2,8422.84,9855072.97,241043.19,14356.12,0.04
The B1M,Education,526627072,222,1,4724.61,2361556.38,47961.49,2520.1,0.03
The Try Guys,Comedy,1564852968,266,0,4520.34,5882905.89,180913.64,9981.64,0.05
Tito Double P - Topic,Music,225329815,22,0,74532.05,10242264.32,85017.27,225.0,0.01
UR · Cristiano,Sports,240127310,52,0,55458.56,4617832.88,630118.6,20657.38,0.14
Variety,Entertainment,394556475,203,6,2765.72,1887830.02,53168.63,1906.23,0.03
Vice Grip Garage,Autos & Vehicles,470219760,160,0,5707.95,2938873.5,71068.14,5898.31,0.03
War Thunder. Official channel.,Gaming,617835856,68,200,4749.28,2305357.67,101096.07,1709.72,0.05
Will Tennyson,People & Blogs,517618737,209,0,6163.95,2476644.67,92374.5,2577.89,0.04
WinterKloudz,Gaming,245140966,150,0,6151.56,1634273.11,22403.08,1663.8,0.02
Xavi Oficial,Music,379682296,108,6,9097.25,3330546.46,113871.09,2241.04,0.07
XaviOficialVEVO,Music,4178472,5,0,1770.63,835694.4,13093.4,431.2,0.02
You're Welcome Network,People & Blogs,2787436,0,8,15306.2,348429.5,13530.88,850.0,0.04
